age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,deposit
32,technician,married,secondary,no,303,yes,no,cellular,8,apr,150,1,267,4,failure,yes
33,technician,single,secondary,no,719,yes,no,cellular,9,apr,448,2,316,6,failure,yes
45,blue-collar,married,secondary,no,96,yes,no,cellular,13,apr,348,3,256,2,failure,yes
33,management,married,tertiary,no,0,yes,no,cellular,14,apr,535,3,328,1,failure,yes
33,admin.,single,secondary,no,572,yes,no,cellular,14,apr,344,1,74,2,failure,yes
43,services,married,primary,no,2557,yes,no,telephone,15,apr,165,2,327,3,failure,yes
32,blue-collar,married,secondary,yes,-53,yes,no,cellular,16,apr,648,1,272,1,other,yes
51,housemaid,married,secondary,no,2337,yes,no,cellular,16,apr,251,2,266,3,other,yes
52,entrepreneur,single,tertiary,no,3469,yes,no,cellular,16,apr,583,1,147,1,success,yes
38,management,married,tertiary,no,165,yes,no,cellular,17,apr,526,1,260,2,other,yes
37,blue-collar,married,primary,no,3154,yes,no,cellular,17,apr,404,1,305,3,failure,yes
29,technician,married,secondary,no,1180,yes,no,cellular,17,apr,367,3,323,3,failure,yes
34,management,married,secondary,yes,879,yes,no,cellular,17,apr,712,1,344,1,failure,yes
28,technician,single,tertiary,no,387,yes,no,cellular,20,apr,205,1,82,1,failure,yes
29,self-employed,married,secondary,no,123,no,yes,cellular,21,apr,158,2,181,1,success,yes
33,admin.,married,tertiary,no,882,no,no,cellular,22,apr,104,1,183,4,failure,yes
53,management,married,tertiary,no,3754,no,no,cellular,22,apr,307,1,278,2,failure,yes
31,admin.,single,tertiary,no,676,yes,no,cellular,22,apr,124,2,343,2,other,yes
32,management,single,tertiary,no,2974,yes,no,cellular,24,apr,227,1,4,1,failure,yes
35,blue-collar,married,secondary,no,149,yes,no,cellular,29,apr,507,3,349,1,other,yes
38,services,married,secondary,no,1970,yes,no,cellular,30,apr,701,1,176,1,success,yes
52,management,married,tertiary,no,193,no,no,cellular,30,apr,381,1,269,1,failure,yes
36,unemployed,single,tertiary,no,1291,no,no,cellular,30,apr,195,1,86,1,success,yes
47,blue-collar,married,secondary,no,1230,yes,no,cellular,30,apr,412,1,169,1,success,yes
36,admin.,married,secondary,no,96,no,no,cellular,30,apr,208,1,87,1,success,yes
23,student,single,secondary,no,0,no,no,cellular,30,apr,297,1,83,6,success,yes
29,management,single,tertiary,no,697,no,no,cellular,30,apr,365,1,85,1,success,yes
59,technician,married,secondary,no,2308,no,no,cellular,30,apr,815,1,87,1,other,yes
48,blue-collar,married,secondary,no,292,no,no,cellular,30,apr,271,1,79,1,success,yes
42,technician,married,tertiary,no,757,no,no,cellular,30,apr,354,1,79,1,success,yes
42,blue-collar,married,primary,no,201,yes,no,cellular,30,apr,841,1,85,2,failure,yes
44,self-employed,divorced,tertiary,no,1070,yes,no,cellular,30,apr,381,1,160,2,other,yes
30,management,single,tertiary,no,398,no,no,cellular,30,apr,554,1,6,2,success,yes
46,technician,married,secondary,no,0,no,no,cellular,30,apr,200,1,259,2,other,yes
35,management,single,tertiary,no,1750,yes,no,cellular,30,apr,687,1,9,3,success,yes
35,management,married,tertiary,no,193,yes,no,cellular,30,apr,565,1,13,1,failure,yes
35,admin.,single,tertiary,no,994,no,no,cellular,30,apr,400,1,87,2,failure,yes
33,blue-collar,single,secondary,no,129,yes,yes,cellular,30,apr,482,1,161,1,failure,yes
33,management,married,tertiary,no,55,no,no,cellular,30,apr,526,2,87,3,failure,yes
53,management,married,tertiary,no,1624,no,no,cellular,30,apr,284,3,84,3,success,yes
26,admin.,single,secondary,no,255,no,no,cellular,30,apr,457,1,80,1,success,yes
30,admin.,single,secondary,no,270,no,no,cellular,30,apr,437,1,80,1,success,yes
38,management,married,tertiary,no,613,no,no,cellular,30,apr,242,1,86,1,success,yes
29,technician,single,secondary,no,674,no,no,cellular,30,apr,483,1,13,5,success,yes
47,management,single,tertiary,no,86,no,no,cellular,30,apr,387,3,87,1,success,yes
34,management,single,tertiary,no,1228,no,no,cellular,30,apr,580,2,84,8,success,yes
54,technician,divorced,secondary,no,2156,yes,no,cellular,30,apr,258,1,86,5,success,yes
47,blue-collar,married,primary,no,2749,yes,no,cellular,30,apr,774,2,164,1,failure,yes
39,management,married,tertiary,no,0,no,no,cellular,30,apr,342,3,22,3,other,yes
33,blue-collar,single,tertiary,no,700,no,no,cellular,30,apr,169,1,80,2,success,yes
58,management,married,tertiary,no,4152,yes,no,cellular,30,apr,750,2,164,4,other,yes
54,technician,married,secondary,no,0,no,no,telephone,30,apr,766,3,84,3,success,yes
31,management,single,tertiary,no,354,no,no,cellular,30,apr,502,1,9,2,success,yes
29,blue-collar,single,secondary,no,734,yes,yes,cellular,30,apr,259,1,296,1,other,yes
30,admin.,single,tertiary,no,305,no,no,cellular,30,apr,633,1,85,2,success,yes
28,unemployed,single,primary,no,236,no,no,cellular,4,may,193,1,87,3,failure,yes
38,technician,divorced,secondary,no,902,yes,no,cellular,4,may,301,3,90,1,success,yes
47,technician,married,secondary,no,335,no,no,cellular,4,may,417,1,76,1,success,yes
33,technician,single,tertiary,no,1636,yes,no,cellular,4,may,592,1,66,1,success,yes
60,technician,married,secondary,no,316,no,no,cellular,4,may,545,2,263,4,failure,yes
32,student,single,tertiary,no,1138,no,no,cellular,4,may,214,3,83,3,success,yes
35,management,married,tertiary,no,520,yes,no,cellular,4,may,458,3,17,5,failure,yes
30,self-employed,married,tertiary,no,2666,no,no,cellular,4,may,781,3,89,1,success,yes
39,management,single,tertiary,no,2454,yes,no,cellular,4,may,716,3,263,2,failure,yes
31,blue-collar,single,secondary,no,196,yes,no,cellular,5,may,568,1,341,7,failure,yes
30,technician,single,secondary,no,-522,yes,yes,cellular,5,may,670,2,286,6,failure,yes
27,admin.,married,secondary,no,710,yes,yes,cellular,6,may,653,1,334,2,success,yes
37,technician,divorced,secondary,no,141,yes,no,cellular,6,may,848,1,364,3,failure,yes
34,entrepreneur,married,tertiary,no,0,yes,no,cellular,6,may,611,1,183,1,failure,yes
32,admin.,married,secondary,no,752,yes,no,cellular,6,may,519,2,166,5,failure,yes
49,management,married,secondary,no,99,yes,no,cellular,6,may,687,2,343,1,failure,yes
33,management,married,secondary,no,3935,yes,no,cellular,6,may,765,1,342,2,failure,yes
42,blue-collar,married,primary,no,1461,yes,no,cellular,7,may,757,2,170,3,failure,yes
30,services,single,secondary,no,-271,yes,no,cellular,7,may,609,1,337,1,success,yes
51,admin.,married,secondary,no,3025,no,no,cellular,7,may,476,1,352,1,other,yes
29,technician,single,tertiary,no,0,yes,no,cellular,7,may,347,2,337,6,failure,yes
42,unemployed,married,secondary,no,356,yes,no,cellular,7,may,787,3,356,2,failure,yes
45,admin.,married,secondary,yes,-106,yes,yes,cellular,7,may,553,3,288,1,other,yes
39,admin.,single,secondary,no,2345,yes,no,cellular,8,may,491,2,344,2,failure,yes
42,management,married,tertiary,no,4,yes,no,cellular,8,may,579,2,295,1,success,yes
57,management,married,tertiary,no,830,yes,yes,cellular,8,may,662,1,367,1,success,yes
59,retired,married,tertiary,no,148,yes,yes,cellular,8,may,685,2,366,1,other,yes
47,retired,married,primary,no,1374,no,yes,telephone,8,may,479,2,359,3,failure,yes
42,management,married,tertiary,no,-556,yes,yes,cellular,8,may,682,3,347,3,failure,yes
34,admin.,divorced,secondary,no,479,yes,no,cellular,12,may,515,1,350,5,failure,yes
34,admin.,single,secondary,no,151,yes,no,cellular,12,may,590,1,370,1,other,yes
39,admin.,married,secondary,no,607,yes,no,cellular,12,may,454,2,364,3,failure,yes
47,services,married,secondary,no,367,yes,no,cellular,12,may,309,1,306,4,success,yes
35,blue-collar,single,secondary,no,855,yes,no,cellular,12,may,549,1,300,1,success,yes
47,admin.,married,secondary,no,663,yes,yes,cellular,12,may,409,1,274,6,other,yes
36,blue-collar,married,primary,no,319,yes,no,cellular,13,may,774,2,301,1,failure,yes
33,technician,married,secondary,no,221,yes,no,cellular,13,may,669,1,355,4,failure,yes
28,admin.,divorced,secondary,no,451,yes,no,cellular,13,may,302,1,301,1,success,yes
34,management,single,tertiary,no,76,yes,no,cellular,13,may,747,2,371,3,failure,yes
35,management,single,tertiary,no,1396,yes,no,cellular,13,may,809,1,300,1,failure,yes
50,technician,divorced,secondary,no,-54,yes,yes,cellular,13,may,698,2,292,1,failure,yes
36,admin.,divorced,secondary,no,437,yes,no,cellular,14,may,722,2,344,1,success,yes
28,blue-collar,single,primary,no,54,yes,no,cellular,14,may,533,1,371,1,other,yes
39,management,married,tertiary,no,1738,yes,no,cellular,14,may,633,1,358,1,other,yes
48,blue-collar,married,primary,no,214,yes,yes,cellular,14,may,307,1,177,2,failure,yes
34,management,married,tertiary,no,273,yes,no,cellular,14,may,492,1,175,2,failure,yes
35,blue-collar,divorced,secondary,no,336,yes,no,cellular,14,may,191,1,346,2,failure,yes
31,blue-collar,single,secondary,no,953,yes,no,cellular,14,may,479,1,346,2,success,yes
56,services,single,secondary,no,-40,yes,no,cellular,15,may,311,1,368,2,failure,yes
26,services,married,secondary,no,77,yes,no,cellular,15,may,619,1,340,4,failure,yes
28,admin.,single,secondary,no,154,yes,no,cellular,15,may,536,1,364,1,other,yes
35,admin.,divorced,secondary,no,534,no,no,cellular,15,may,669,1,312,3,failure,yes
28,management,single,secondary,no,703,yes,no,cellular,15,may,485,1,88,1,other,yes
31,admin.,married,secondary,no,685,yes,no,cellular,15,may,552,1,329,3,failure,yes
28,services,single,secondary,no,341,yes,no,cellular,15,may,437,3,347,3,other,yes
25,admin.,single,secondary,no,507,yes,no,cellular,15,may,832,1,367,3,failure,yes
48,blue-collar,married,secondary,no,480,yes,no,cellular,15,may,830,1,352,2,failure,yes
40,admin.,married,secondary,no,2574,yes,no,cellular,15,may,432,1,176,1,failure,yes
37,blue-collar,married,primary,no,2120,yes,no,cellular,15,may,655,3,175,4,failure,yes
29,blue-collar,married,secondary,no,-493,yes,no,cellular,18,may,536,2,334,4,failure,yes
32,technician,single,secondary,no,230,yes,no,cellular,18,may,442,1,266,8,failure,yes
31,blue-collar,single,secondary,no,239,yes,no,cellular,18,may,666,1,360,1,success,yes
55,retired,divorced,tertiary,no,0,no,no,cellular,18,may,616,1,370,1,success,yes
45,technician,divorced,secondary,no,-357,yes,yes,cellular,18,may,618,1,355,2,failure,yes
33,blue-collar,married,secondary,no,139,yes,yes,cellular,18,may,732,2,291,5,failure,yes
29,unemployed,single,tertiary,no,497,yes,no,cellular,18,may,642,3,298,6,success,yes
45,admin.,divorced,secondary,no,397,yes,yes,cellular,22,may,582,1,95,2,success,yes
32,technician,single,tertiary,no,1625,no,no,cellular,22,may,796,1,109,1,failure,yes
37,services,married,secondary,no,1543,yes,no,cellular,22,may,298,1,10,6,failure,yes
39,management,single,tertiary,no,0,yes,no,cellular,22,may,271,1,93,3,success,yes
43,services,married,secondary,no,2145,no,no,cellular,22,may,271,1,183,3,failure,yes
26,student,single,secondary,no,620,no,no,cellular,22,may,223,1,94,1,success,yes
27,student,single,tertiary,no,3733,yes,no,cellular,22,may,198,1,98,6,success,yes
27,management,single,tertiary,no,616,yes,no,cellular,22,may,685,1,101,1,other,yes
43,admin.,single,secondary,no,733,yes,no,cellular,25,may,282,1,187,3,success,yes
60,retired,divorced,tertiary,no,439,no,yes,cellular,25,may,464,1,321,1,failure,yes
28,technician,single,tertiary,no,0,yes,no,cellular,25,may,269,1,40,2,failure,yes
24,blue-collar,single,secondary,no,167,no,yes,cellular,25,may,288,1,96,2,success,yes
43,technician,divorced,secondary,no,1612,no,no,cellular,25,may,262,2,353,1,other,yes
36,technician,married,tertiary,no,911,yes,yes,cellular,25,may,117,2,21,3,failure,yes
35,technician,single,secondary,no,27,yes,no,cellular,25,may,214,1,305,1,other,yes
32,technician,single,tertiary,no,705,yes,no,cellular,25,may,414,2,35,4,failure,yes
33,technician,single,tertiary,no,109,yes,yes,cellular,25,may,601,2,10,7,failure,yes
31,technician,single,secondary,no,138,no,no,cellular,26,may,91,1,285,2,other,yes
58,retired,married,secondary,no,2714,no,no,cellular,26,may,165,1,287,2,failure,yes
32,management,single,tertiary,no,312,no,no,cellular,26,may,208,2,98,2,success,yes
47,admin.,divorced,secondary,no,2232,no,no,cellular,27,may,439,1,103,1,success,yes
37,admin.,married,secondary,no,1967,no,no,cellular,27,may,242,1,212,1,success,yes
26,admin.,single,secondary,no,2509,no,no,cellular,27,may,776,3,97,3,success,yes
35,technician,married,secondary,no,1368,no,no,cellular,27,may,329,1,41,2,other,yes
25,admin.,single,tertiary,no,760,yes,no,cellular,27,may,223,3,89,2,failure,yes
55,admin.,married,secondary,no,602,no,no,cellular,1,jun,324,3,90,2,success,yes
49,management,married,tertiary,no,1808,yes,no,cellular,1,jun,205,1,95,1,success,yes
45,admin.,married,tertiary,no,2552,no,no,cellular,1,jun,69,1,293,7,failure,yes
47,technician,married,secondary,no,293,no,no,cellular,1,jun,251,1,90,1,success,yes
54,services,divorced,secondary,no,0,no,no,cellular,1,jun,174,1,81,2,success,yes
43,management,divorced,tertiary,no,2367,no,no,cellular,1,jun,114,1,38,2,other,yes
27,management,single,tertiary,no,1840,no,no,cellular,1,jun,220,1,28,8,other,yes
47,management,married,tertiary,no,2351,no,no,cellular,2,jun,163,2,84,1,success,yes
26,admin.,single,tertiary,no,313,no,yes,cellular,2,jun,199,1,96,2,success,yes
38,admin.,married,tertiary,no,1988,no,no,cellular,2,jun,103,1,67,4,success,yes
42,services,married,secondary,no,1376,yes,no,cellular,2,jun,271,2,92,4,success,yes
49,technician,married,tertiary,no,523,yes,no,cellular,2,jun,712,1,60,3,failure,yes
46,blue-collar,married,secondary,no,1568,yes,no,cellular,2,jun,310,1,55,6,other,yes
29,technician,married,secondary,no,23,yes,no,cellular,2,jun,163,1,55,2,failure,yes
34,unemployed,married,secondary,no,978,no,no,cellular,3,jun,262,2,71,1,success,yes
32,self-employed,married,secondary,no,409,no,no,cellular,3,jun,115,2,86,2,success,yes
42,blue-collar,married,secondary,no,2913,no,no,cellular,3,jun,705,1,195,1,failure,yes
29,management,single,tertiary,no,637,yes,no,cellular,3,jun,340,1,119,1,failure,yes
26,technician,single,secondary,no,1231,yes,no,cellular,3,jun,385,2,96,5,success,yes
26,management,single,tertiary,no,2786,no,no,cellular,3,jun,300,2,72,1,success,yes
39,unemployed,married,tertiary,no,201,no,no,cellular,3,jun,699,1,119,1,failure,yes
43,blue-collar,married,primary,no,3917,no,no,cellular,3,jun,725,2,93,1,success,yes
43,management,divorced,tertiary,no,481,yes,no,cellular,3,jun,187,1,20,1,other,yes
35,services,married,secondary,no,52,yes,no,cellular,4,jun,328,2,94,4,success,yes
41,services,married,secondary,no,0,yes,yes,cellular,4,jun,352,2,122,2,failure,yes
38,technician,single,secondary,no,1130,no,no,cellular,4,jun,96,2,98,1,success,yes
38,entrepreneur,divorced,secondary,no,1190,yes,no,cellular,4,jun,81,2,391,3,failure,yes
35,blue-collar,married,secondary,no,563,no,yes,cellular,4,jun,147,1,119,3,failure,yes
34,admin.,single,secondary,no,303,no,no,cellular,4,jun,282,3,126,3,failure,yes
40,admin.,single,secondary,no,985,yes,no,cellular,4,jun,592,3,50,8,failure,yes
28,management,single,secondary,no,171,no,no,cellular,5,jun,324,1,87,1,success,yes
35,admin.,divorced,secondary,no,1085,no,no,cellular,5,jun,199,1,86,7,success,yes
25,self-employed,single,tertiary,no,42,yes,no,cellular,5,jun,149,1,94,1,success,yes
31,management,single,tertiary,no,924,no,no,cellular,5,jun,207,2,98,1,success,yes
22,blue-collar,single,secondary,no,682,no,no,cellular,5,jun,126,2,91,1,success,yes
50,management,married,tertiary,no,1612,no,no,cellular,15,jun,532,2,98,2,other,yes
59,technician,married,secondary,no,259,no,no,cellular,15,jun,415,1,89,1,success,yes
31,student,single,secondary,no,1776,no,no,cellular,15,jun,220,1,207,1,other,yes
26,admin.,married,secondary,no,1595,no,no,cellular,15,jun,155,1,105,1,failure,yes
37,admin.,single,tertiary,no,1000,yes,no,cellular,15,jun,322,1,90,1,success,yes
34,management,married,tertiary,no,2374,yes,yes,cellular,18,jun,270,2,314,2,failure,yes
61,management,married,tertiary,no,997,no,no,cellular,22,jun,269,1,104,1,success,yes
37,admin.,married,secondary,no,2061,yes,yes,cellular,22,jun,459,1,109,3,failure,yes
72,self-employed,married,tertiary,no,132,no,no,cellular,1,jul,260,2,65,1,success,yes
40,management,married,tertiary,no,2763,yes,no,cellular,2,jul,566,1,395,2,success,yes
42,entrepreneur,married,secondary,no,2959,yes,no,telephone,2,jul,711,1,342,1,failure,yes
39,admin.,divorced,secondary,no,19,yes,no,cellular,2,jul,503,2,147,5,success,yes
31,blue-collar,married,secondary,no,625,yes,no,cellular,2,jul,135,2,49,3,failure,yes
30,unemployed,married,tertiary,no,330,no,no,cellular,3,jul,264,1,80,1,success,yes
41,entrepreneur,married,primary,no,0,no,no,cellular,3,jul,438,2,389,1,other,yes
37,services,married,secondary,no,981,no,no,cellular,7,jul,682,2,386,1,success,yes
31,management,single,secondary,no,202,yes,no,cellular,8,jul,167,1,62,1,failure,yes
31,management,single,tertiary,no,307,no,no,cellular,8,jul,361,1,229,2,failure,yes
38,student,married,secondary,no,0,no,no,cellular,8,jul,341,1,385,1,failure,yes
52,technician,married,tertiary,no,2557,no,no,cellular,8,jul,340,1,156,1,other,yes
27,management,single,tertiary,no,2489,no,no,cellular,15,jul,323,2,163,2,other,yes
44,entrepreneur,single,secondary,no,323,no,no,cellular,28,jul,332,2,181,2,failure,yes
25,management,single,tertiary,no,219,no,no,cellular,4,aug,576,1,96,1,success,yes
47,technician,married,secondary,no,1167,yes,no,cellular,4,aug,505,1,96,6,success,yes
40,technician,single,tertiary,no,1646,yes,no,cellular,4,aug,173,1,92,5,success,yes
46,management,married,tertiary,no,242,no,no,cellular,4,aug,120,2,96,1,success,yes
30,self-employed,married,tertiary,no,2666,no,no,cellular,5,aug,475,2,93,4,success,yes
48,management,married,tertiary,no,1147,no,no,cellular,5,aug,389,1,64,2,success,yes
47,management,single,tertiary,no,86,no,no,cellular,5,aug,253,1,97,4,success,yes
20,student,married,secondary,no,292,no,no,cellular,5,aug,385,2,93,1,failure,yes
37,unemployed,single,tertiary,no,1291,no,no,cellular,5,aug,150,1,97,2,success,yes
40,management,married,tertiary,no,0,no,no,cellular,6,aug,131,2,98,6,success,yes
46,management,married,tertiary,no,4693,no,yes,cellular,7,aug,79,1,394,2,failure,yes
41,admin.,married,tertiary,no,1536,no,no,cellular,7,aug,273,1,95,2,failure,yes
37,admin.,married,secondary,no,96,no,no,cellular,7,aug,155,1,99,2,success,yes
34,management,married,tertiary,no,0,yes,no,cellular,7,aug,262,1,99,2,success,yes
44,admin.,single,secondary,no,1534,no,no,cellular,7,aug,166,1,99,2,other,yes
42,services,single,secondary,no,3403,yes,no,cellular,7,aug,215,1,99,1,failure,yes
58,unemployed,married,secondary,no,687,yes,no,cellular,7,aug,221,1,99,2,success,yes
23,student,single,secondary,no,0,no,no,cellular,7,aug,217,1,99,7,success,yes
59,retired,divorced,tertiary,no,3444,no,no,cellular,10,aug,252,1,185,2,success,yes
32,self-employed,single,tertiary,no,1815,no,no,telephone,10,aug,235,1,102,2,failure,yes
42,blue-collar,married,primary,no,201,yes,no,cellular,11,aug,265,1,103,3,success,yes
42,services,single,tertiary,no,94,yes,no,cellular,11,aug,176,2,90,4,failure,yes
57,technician,married,secondary,no,589,yes,no,cellular,11,aug,167,1,190,5,failure,yes
30,management,single,tertiary,no,533,no,no,cellular,11,aug,229,2,99,4,success,yes
42,technician,married,secondary,no,994,yes,no,cellular,11,aug,149,1,78,5,failure,yes
26,admin.,single,secondary,no,96,no,no,cellular,11,aug,349,1,70,3,failure,yes
40,admin.,single,secondary,no,100,yes,no,cellular,11,aug,221,1,461,1,success,yes
39,admin.,married,secondary,no,260,yes,no,cellular,11,aug,175,2,116,2,failure,yes
58,self-employed,married,primary,no,1013,yes,no,cellular,11,aug,206,1,461,1,failure,yes
31,services,single,secondary,no,181,no,no,cellular,12,aug,182,1,104,1,success,yes
36,management,single,tertiary,no,3850,yes,no,cellular,12,aug,239,2,100,4,failure,yes
34,management,single,tertiary,no,48,yes,no,cellular,12,aug,810,3,93,6,failure,yes
55,management,married,primary,no,113,no,no,cellular,12,aug,306,1,457,3,failure,yes
33,blue-collar,single,secondary,no,498,no,no,cellular,12,aug,338,2,104,1,success,yes
43,technician,married,tertiary,no,2643,no,no,cellular,12,aug,188,3,100,5,success,yes
34,services,married,secondary,no,1337,no,no,cellular,12,aug,255,2,104,1,success,yes
35,services,married,secondary,no,618,no,no,cellular,12,aug,293,1,104,1,success,yes
31,admin.,married,secondary,no,35,no,no,cellular,13,aug,315,2,105,1,success,yes
50,services,married,secondary,no,3169,no,no,cellular,13,aug,399,1,430,1,failure,yes
56,management,married,tertiary,no,616,no,no,cellular,13,aug,293,2,105,2,success,yes
76,retired,married,primary,no,3324,no,no,cellular,13,aug,227,2,192,1,failure,yes
28,technician,single,secondary,no,113,no,no,cellular,13,aug,204,3,105,1,failure,yes
45,management,single,tertiary,no,2067,yes,no,cellular,13,aug,393,2,462,1,success,yes
49,management,married,tertiary,no,1,no,no,telephone,13,aug,640,2,101,4,success,yes
26,admin.,single,secondary,no,255,no,no,cellular,14,aug,209,2,106,2,success,yes
47,unemployed,married,secondary,no,926,no,no,cellular,14,aug,436,1,403,5,success,yes
37,student,single,secondary,no,444,no,no,cellular,14,aug,137,1,102,5,success,yes
60,retired,married,secondary,no,209,no,no,cellular,14,aug,391,3,106,1,failure,yes
44,management,married,tertiary,no,226,yes,no,cellular,14,aug,190,3,270,3,failure,yes
33,unemployed,single,tertiary,no,1974,no,no,cellular,14,aug,498,2,191,1,failure,yes
46,blue-collar,married,secondary,no,336,yes,no,cellular,14,aug,260,3,457,1,other,yes
42,admin.,married,primary,no,-306,yes,no,cellular,17,aug,308,1,459,1,success,yes
35,management,single,tertiary,no,431,no,no,cellular,17,aug,343,2,397,1,failure,yes
62,retired,married,secondary,no,1495,no,no,cellular,17,aug,606,1,196,1,success,yes
26,management,single,tertiary,no,828,yes,no,cellular,17,aug,156,1,199,1,failure,yes
22,student,single,secondary,no,948,no,no,telephone,18,aug,215,1,197,2,failure,yes
30,student,single,secondary,no,48,no,no,cellular,18,aug,161,1,173,1,failure,yes
34,housemaid,married,tertiary,no,0,no,no,cellular,18,aug,148,1,84,2,failure,yes
55,technician,married,secondary,no,1938,no,yes,cellular,18,aug,193,1,386,3,success,yes
43,admin.,married,secondary,no,132,no,no,cellular,19,aug,574,1,84,3,success,yes
60,admin.,married,secondary,no,106,no,no,cellular,21,aug,216,3,91,1,success,yes
25,student,single,secondary,no,469,no,no,cellular,21,aug,273,1,86,1,other,yes
50,technician,married,secondary,no,3370,no,no,cellular,21,aug,531,2,80,2,success,yes
43,admin.,single,secondary,no,733,yes,no,cellular,21,aug,126,1,88,4,success,yes
53,retired,divorced,tertiary,no,-309,yes,no,cellular,21,aug,343,2,428,2,success,yes
28,blue-collar,married,secondary,no,61,yes,no,cellular,21,aug,744,1,109,3,success,yes
59,unemployed,married,secondary,no,1047,no,no,cellular,21,aug,438,1,184,3,success,yes
29,management,single,tertiary,no,265,no,no,cellular,24,aug,130,2,94,1,success,yes
51,technician,married,secondary,no,117,no,no,cellular,24,aug,467,2,88,4,other,yes
37,technician,married,tertiary,no,127,yes,no,cellular,25,aug,192,1,193,1,success,yes
43,services,married,secondary,no,2145,no,no,cellular,25,aug,291,2,95,4,success,yes
43,management,single,tertiary,no,1696,yes,no,cellular,26,aug,257,1,474,3,failure,yes
28,management,single,tertiary,no,223,yes,no,telephone,27,aug,157,2,119,1,other,yes
36,blue-collar,single,secondary,no,40,yes,no,cellular,27,aug,259,3,475,4,success,yes
36,technician,single,secondary,no,539,yes,no,cellular,27,aug,398,2,477,1,failure,yes
